0,-50,-100,1,1,10,23,22
1,-100,-50,1,1,10,22,23
2,50,-50,1,1,10,25,23
3,200,0,1,1,10,28,24
4,300,-150,1,1,10,30,21
5,-250,0,1,1,10,19,24
6,-400,-250,1,1,10,16,19
7,-350,-250,1,1,10,17,19
8,-150,-300,1,1,10,21,18
9,-100,-300,1,1,10,22,18
10,-50,-250,1,1,10,23,19
11,0,-250,1,1,10,24,19
12,100,-200,1,1,10,26,20
13,150,-150,1,1,10,27,21
14,0,150,1,1,10,24,27
15,-150,0,1,1,10,21,24
16,-200,0,1,1,10,20,24
17,-200,-50,1,1,10,20,23
18,-200,-100,1,1,10,20,22
19,-250,-100,1,1,10,19,22
20,-500,0,1,1,10,14,24
21,-150,50,1,1,10,21,25
22,0,50,1,1,10,24,25
23,350,150,1,1,10,31,27
24,350,100,1,1,10,31,26
25,300,0,1,1,10,30,24
26,300,-50,1,1,10,30,23
27,350,-150,1,1,10,31,21
28,350,-200,1,1,10,31,20
29,-250,100,1,1,10,19,26
30,-250,50,1,1,10,19,25
31,-300,0,1,1,10,18,24
32,-300,-50,1,1,10,18,23
33,-350,-50,1,1,10,17,23
34,-350,-100,1,1,10,17,22
35,-350,-150,1,1,10,17,21
36,-300,-200,1,1,10,18,20
37,-200,-150,1,1,10,20,21
38,-150,-150,1,1,10,21,21
39,-100,-150,1,1,10,22,21
40,-50,-150,1,1,10,23,21
41,0,-200,1,1,10,24,20
42,50,-200,1,1,10,25,20
43,100,-250,1,1,10,26,19
44,100,-300,1,1,10,26,18
45,150,-300,1,1,10,27,18
46,200,-250,1,1,10,28,19
47,250,-250,1,1,10,29,19
48,250,-200,1,1,10,29,20
49,250,-150,1,1,10,29,21
50,150,-50,1,1,10,27,23
51,100,100,1,1,10,26,26
52,300,200,1,1,10,30,28
